function,count,library
numpy.atleast_1d,17,matplotlib
numpy.hstack,17,matplotlib
numpy.cumsum,17,skimage
numpy.argmax,17,dask.array
numpy.ma.core.array,17,matplotlib
numpy.float64,17,dask.array
numpy.argsort,17,pandas
numpy.isscalar,17,skimage
numpy.random.mtrand.RandomState.seed,17,skimage
numpy.ndarray.all,17,matplotlib
numpy.complex128,16,pandas
numpy.hstack,16,skimage
numpy.uint32,16,skimage
numpy.bool_,16,skimage
numpy.isinf,16,pandas
numpy.ones_like,16,skimage
numpy.stack,16,skimage
numpy.random.mtrand.RandomState.seed,16,dask.array
numpy.allclose,16,dask.array
numpy.uint32,16,pandas
numpy.finfo,16,skimage
numpy.ma.array,16,matplotlib
numpy.ma,16,skimage
numpy.dtype,16,skimage
numpy.dtype.type,16,skimage
numpy.ndarray.setflags,16,pandas
numpy.where,16,skimage
numpy.float64,15,xarray
numpy.ndarray.min,15,pandas
numpy.zeros_like,15,matplotlib
numpy.ndarray.flags,15,pandas
numpy.dtype,15,dask.array
numpy.ndarray,15,matplotlib
numpy.shape,15,matplotlib
numpy.nanargmin,15,dask.array
numpy.intp,15,skimage
numpy.ma.core.MaskedArray.shape,15,dask.array
numpy.nonzero,15,skimage
numpy.multiply,15,skimage
numpy.ma.MaskedArray,15,matplotlib
numpy.empty_like,14,pandas
numpy.cumsum,14,dask.array
numpy.ndarray.tolist,14,matplotlib
numpy.r_,14,pandas
numpy.random.mtrand.RandomState.random,14,matplotlib
numpy.rollaxis,14,skimage
numpy.fft.fft,14,dask.array
numpy.linspace,14,dask.array
numpy.str_,14,xarray
numpy.ndarray.mean,14,matplotlib
numpy.random.mtrand.RandomState.random,14,skimage
numpy.ndarray.tolist,14,dask.array
numpy.load,14,skimage
numpy.ma.core.MaskedArray.dtype,14,matplotlib
numpy.random.uniform,14,skimage
numpy.add,14,dask.array
numpy.rad2deg,14,matplotlib
numpy.round_,14,skimage
numpy.int64,14,skimage
numpy.isscalar,14,dask.array
numpy.allclose,14,pandas
numpy.dot,14,pandas
numpy.isfinite,14,pandas
numpy.transpose,13,skimage
numpy.argmax,13,skimage
numpy.einsum,13,dask.array
numpy.ndarray.flat,13,pandas
numpy.sin,13,xarray
numpy.ndarray.sum,13,matplotlib
numpy.dtype.itemsize,13,pandas
numpy.ndarray.view,13,skimage
numpy.cumsum,13,pandas
numpy.int,13,skimage
numpy.interp,13,matplotlib
numpy.float_,13,pandas
numpy.deg2rad,13,skimage
numpy.roll,13,skimage
numpy.generic.item,13,pandas
numpy.random.rand,13,skimage
numpy.random.mtrand.RandomState.permutation,13,pandas
numpy.testing._private.utils.assert_array_less,13,skimage
numpy.ndarray.T,13,dask.array
numpy.log,13,dask.array
numpy.random.mtrand.RandomState.random,13,xarray
numpy.ma.core.MaskedArray.size,13,matplotlib
numpy.log,13,pandas
numpy.ndarray.any,13,skimage
numpy.true_divide,13,dask.array
numpy.round_,12,pandas
Type[numpy.ndarray].__name__,12,pandas
numpy.log,12,skimage
numpy.random.mtrand.RandomState.randint,12,skimage
numpy.floating,12,pandas
numpy.ndarray.item,12,pandas
numpy.exp,12,pandas
numpy.integer,12,xarray
numpy.int64,12,dask.array
numpy.random.mtrand.RandomState.seed,12,pandas
numpy.ma.core.MaskedArray.max,12,matplotlib
numpy.ndim,12,pandas
numpy.int16,12,skimage
numpy.ma.core.MaskedArray.filled,12,matplotlib
