function,count,library
numpy.ma.masked_outside,1,dask.array
numpy.random.mtrand.RandomState.laplace,1,dask.array
numpy.ma.core.MaskError,1,dask.array
numpy.ma.core,1,dask.array
numpy.ma.core._check_fill_value,1,dask.array
numpy.recarray.dtype,1,matplotlib
numpy.ma.set_fill_value,1,dask.array
numpy.rec,1,matplotlib
numpy.ma.extras.average,1,dask.array
numpy.matrixlib.__warningregistry__,1,skimage
numpy.ma.getmaskarray,1,dask.array
numpy.linalg.__warningregistry__,1,skimage
numpy.linalg._umath_linalg.__warningregistry__,1,skimage
numpy.lib.twodim_base.__warningregistry__,1,skimage
numpy.dtype.name,1,dask.array
numpy.percentile,1,dask.array
numpy.number,1,dask.array
numpy.interp,1,dask.array
numpy.random.mtrand.RandomState.exponential,1,dask.array
numpy.random.mtrand.RandomState.binomial,1,dask.array
numpy.random.mtrand.RandomState.gamma,1,dask.array
numpy.ma.nomask,1,dask.array
numpy.ma.getdata,1,dask.array
numpy.ma.core.MaskedArray.cumprod,1,dask.array
numpy.ma.core.divide,1,dask.array
numpy.core.records.fromrecords,1,matplotlib
numpy.ma.masked_values,1,dask.array
numpy.lib.__warningregistry__,1,skimage
numpy.ma.core.masked_invalid,1,dask.array
numpy.lib.arraypad.__warningregistry__,1,skimage
numpy.ma.core.reshape,1,matplotlib
numpy.ndarray.prod,1,dask.array
numpy.lib._iotools.__warningregistry__,1,skimage
numpy.lib.format.__warningregistry__,1,skimage
numpy.lib.function_base.__warningregistry__,1,skimage
numpy.lib.utils.__warningregistry__,1,skimage
numpy.ravel_multi_index,1,dask.array
numpy.ma.core.minimum_fill_value,1,dask.array
numpy.ogrid,1,dask.array
numpy.lib.shape_base.__warningregistry__,1,skimage
numpy.ma.core.maximum_fill_value,1,dask.array
numpy.ma.core.MaskedArray.cumsum,1,dask.array
numpy.lib.index_tricks.__warningregistry__,1,skimage
numpy.random.mtrand.RandomState.gumbel,1,dask.array
numpy.random.mtrand.RandomState.lognormal,1,dask.array
numpy.testing._private.utils.__warningregistry__,1,skimage
numpy.random.mtrand.RandomState.negative_binomial,1,dask.array
numpy.core._ufunc_config.__warningregistry__,1,skimage
numpy.core.fromnumeric.__warningregistry__,1,skimage
numpy.core._exceptions.__warningregistry__,1,skimage
numpy.testing._private.utils.assert_array_almost_equal_nulp,1,matplotlib
numpy.core.numerictypes.__warningregistry__,1,skimage
numpy.core._dtype.__warningregistry__,1,skimage
numpy.core.umath.__warningregistry__,1,skimage
numpy.partition,1,dask.array
numpy.argpartition,1,dask.array
numpy.ndarray.trace,1,dask.array
numpy.core.overrides.__warningregistry__,1,skimage
numpy.compat.py3k.__warningregistry__,1,skimage
numpy.core._multiarray_umath.__warningregistry__,1,skimage
numpy.inner,1,matplotlib
numpy.version.__warningregistry__,1,skimage
numpy._globals.__warningregistry__,1,skimage
numpy.dual.__warningregistry__,1,skimage
numpy.testing._private.nosetester.__warningregistry__,1,skimage
numpy.c_,1,matplotlib
numpy.core.numeric.__warningregistry__,1,skimage
numpy.core.records.__warningregistry__,1,skimage
numpy.core.function_base.__warningregistry__,1,skimage
numpy.random.mtrand.RandomState.choice,1,dask.array
numpy.random.mtrand.RandomState.noncentral_f,1,dask.array
numpy.random.mtrand.RandomState.pareto,1,dask.array
numpy.random.mtrand.RandomState.power,1,dask.array
numpy.lib.type_check.__warningregistry__,1,skimage
numpy.random.mtrand.RandomState.wald,1,dask.array
numpy.random.mtrand.RandomState.zipf,1,dask.array
numpy.random.mtrand.RandomState.standard_exponential,1,dask.array
numpy.random.multinomial,1,dask.array
numpy.ndarray.take,1,dask.array
numpy.float64.astype,1,dask.array
numpy.lib.mixins.__warningregistry__,1,skimage
numpy._pytesttester.__warningregistry__,1,skimage
numpy.core._dtype_ctypes.__warningregistry__,1,skimage
builtins.builtin_function_or_method.__doc__,1,dask.array
numpy.core._multiarray_tests.__warningregistry__,1,skimage
numpy.core.getlimits.__warningregistry__,1,skimage
Type[numpy.float32].__module__,1,dask.array
numpy.float32.dtype,1,dask.array
numpy.unsignedinteger,1,skimage
numpy.fabs,1,xarray
numpy.iscomplexobj,1,matplotlib
numpy.iscomplexobj,1,pandas
numpy.s_,1,pandas
numpy.random.mtrand.RandomState.random_sample,1,xarray
numpy.atleast_1d,1,pandas
builtins.str.startswith,1,pandas
numpy.uint64,1,xarray
numpy.dtype.fields,1,pandas
numpy.ndarray.attrs,1,xarray
numpy.recarray,1,pandas
numpy.int64.attrs,1,pandas
numpy.ndarray.real,1,pandas
numpy.roll,1,xarray
numpy.generic.squeeze,1,pandas
numpy.ufunc.reduceat,1,pandas
numpy.outer,1,pandas
numpy.ndarray.base,1,xarray
numpy.float128.dtype,1,pandas
numpy.ndarray._values,1,pandas
numpy.ma.core.masked_where,1,xarray
numpy.ma.core.getmaskarray,1,xarray
numpy.ma.mrecords.mrecarray,1,pandas
numpy.ma.core.MaskedArray.dtype,1,xarray
numpy.ma.masked_array,1,pandas
numpy.tanh,1,xarray
numpy.ma.mrecords.fromarrays,1,pandas
numpy.ma.core.getdata,1,pandas
numpy.ma.core.MaskedArray.filled,1,pandas
numpy.trunc,1,xarray
numpy.dtype.descr,1,pandas
numpy.int_,1,xarray
builtins.float.is_integer,1,pandas
numpy.int32.dtype,1,xarray
numpy.ma.core.MaskedArray.filled,1,xarray
numpy.generic,1,pandas
builtins.str.ljust,1,pandas
numpy.isnat,1,pandas
numpy.subtract,1,xarray
numpy.ix_,1,pandas
numpy.datetime64.ndim,1,pandas
numpy.hstack,1,xarray
numpy.nancumprod,1,xarray
numpy.ndarray.argsort,1,xarray
numpy.complex,1,xarray
numpy.ediff1d,1,pandas
builtins.bytes.rstrip,1,pandas
numpy.ravel,1,pandas
numpy.histogram,1,pandas
numpy.ma.core.array,1,pandas
numpy.ma.core.masked_where,1,pandas
builtins.bytes.decode,1,pandas
numpy.nanargmax,1,xarray
numpy.random.mtrand.RandomState.set_state,1,pandas
numpy.random.mtrand.RandomState.lognormal,1,pandas
numpy.float64.ndim,1,pandas
numpy.frexp,1,pandas
numpy.searchsorted,1,xarray
numpy.ptp,1,pandas
numpy.ma.core.MaskedArray.view,1,pandas
numpy.unravel_index,1,matplotlib
numpy.ufunc.outer,1,pandas
numpy.ufunc.signature,1,xarray
numpy.double,1,pandas
numpy.ufunc.nout,1,xarray
numpy.ndarray.strides,1,xarray
numpy.lexsort,1,xarray
numpy.float32.dtype,1,xarray
numpy.ix_,1,xarray
numpy.lib.stride_tricks,1,xarray
numpy.multiply,1,xarray
numpy.lib.stride_tricks.as_strided,1,xarray
numpy.lib,1,xarray
numpy.timedelta64.ndim,1,pandas
numpy.ndarray.newbyteorder,1,pandas
numpy.ndarray.itemsize,1,pandas
numpy.ndarray.squeeze,1,xarray
numpy.real,1,pandas
numpy.complex128.ndim,1,pandas
numpy.core.multiarray._reconstruct,1,pandas
numpy.ndarray.__setstate__,1,pandas
numpy.ndarray.byteswap,1,pandas
numpy.ma.mrecords.MaskedRecords.fill_value,1,pandas
numpy.ndarray.imag,1,xarray
numpy.ix_,1,skimage
numpy.sign,1,pandas
numpy.fmod,1,xarray
numpy.hypot,1,xarray
numpy.matrix.dtype,1,pandas
numpy.is_busday,1,pandas
numpy.sort,1,xarray
numpy.float16.dtype,1,pandas
numpy.busday_offset,1,pandas
numpy.float32.ndim,1,pandas
numpy.float32.values,1,pandas
numpy.iscomplex,1,xarray
numpy.float64.values,1,pandas
numpy.isinf,1,xarray
numpy.ndarray.values,1,pandas
numpy.ldexp,1,xarray
numpy.log,1,xarray
numpy.log10,1,xarray
numpy.matrix,1,pandas
numpy.arccos,1,xarray
numpy.arccosh,1,xarray
numpy.ma.ones,1,pandas
numpy.fmin,1,xarray
numpy.remainder,1,pandas
numpy.floor_divide,1,pandas
numpy.dtype.base,1,pandas
numpy.expm1,1,xarray
numpy.true_divide,1,pandas
numpy.floor,1,xarray
numpy.fmax,1,xarray
numpy.degrees,1,xarray
numpy.deg2rad,1,xarray
numpy.cosh,1,xarray
numpy.copysign,1,xarray
numpy.conjugate,1,xarray
numpy.arctanh,1,xarray
numpy.arctan2,1,xarray
numpy.arctan,1,xarray
numpy.arcsinh,1,xarray
numpy.arcsin,1,xarray
numpy.log1p,1,xarray
numpy.random.randint,1,xarray
numpy.flagsobj.owndata,1,xarray
numpy.nanprod,1,xarray
numpy.ndarray.round,1,xarray
numpy.radians,1,xarray
numpy.var,1,xarray
numpy.common_type,1,pandas
numpy.random.rand,1,pandas
numpy.argmin,1,xarray
numpy.rint,1,xarray
numpy.e,1,pandas
numpy.nancumsum,1,xarray
numpy.e,1,xarray
builtins.str.split,1,xarray
numpy.signbit,1,xarray
numpy.empty_like,1,xarray
numpy.ma.mrecords.MaskedRecords,1,pandas
numpy.sinh,1,xarray
numpy.square,1,xarray
numpy.tan,1,xarray
numpy.ndarray.real,1,xarray
numpy.isin,1,xarray
numpy.random.uniform,1,xarray
numpy.bool_.index,1,pandas
numpy.log2,1,xarray
numpy.nanargmin,1,xarray
numpy.logaddexp,1,xarray
numpy.ndarray.__array_priority__,1,pandas
numpy.logaddexp2,1,xarray
numpy.datetime_data,1,pandas
numpy.logical_and,1,xarray
numpy.flexible,1,pandas
numpy.fft.rfft,1,pandas
numpy.ndarray.var,1,pandas
numpy.logical_or,1,xarray
numpy.logical_xor,1,xarray
numpy.datetime_data,1,xarray
numpy.nextafter,1,xarray
numpy.rad2deg,1,xarray
numpy.fft.fft,1,pandas
numpy.fix,1,pandas
numpy.resize,1,pandas
numpy.ndarray.strides,1,pandas
numpy.complex128.imag,1,skimage
numpy.random.mtrand.RandomState.permutation,1,skimage
numpy.take,1,skimage
numpy.histogram_bin_edges,1,matplotlib
numpy.logical_xor,1,skimage
numpy.finfo.max,1,skimage
numpy.finfo.min,1,skimage
numpy.histogram2d,1,matplotlib
numpy.flagsobj.f_contiguous,1,skimage
numpy.cumprod,1,skimage
numpy.ma.extras.column_stack,1,matplotlib
numpy.result_type,1,skimage
numpy.set_printoptions,1,skimage
numpy.uint,1,skimage
numpy.ndarray.dot,1,skimage
numpy.flip,1,skimage
numpy.tril,1,skimage
numpy.frombuffer,1,skimage
numpy.lexsort,1,skimage
numpy.generic.conj,1,skimage
numpy.finfo.min,1,pandas
numpy.complex128.real,1,skimage
numpy.ma.core.MaskedArray.mean,1,skimage
numpy.require,1,skimage
numpy.bool_,1,matplotlib
numpy.ndarray.keys,1,dask.array
numpy.float16,1,matplotlib
numpy.ma.core.getmaskarray,1,skimage
numpy.split,1,matplotlib
numpy.ndarray.name,1,matplotlib
numpy.arccos,1,matplotlib
numpy.NAN,1,skimage
numpy.iscomplexobj,1,skimage
numpy.nditer.multi_index,1,skimage
numpy.nditer,1,skimage
numpy.ma.core.min,1,matplotlib
numpy.ma.core.max,1,matplotlib
numpy.tensordot,1,skimage
numpy.ndarray.fill,1,matplotlib
numpy.c_,1,skimage
numpy.random.mtrand._rand,1,skimage
numpy.random.RandomState,1,skimage
numpy.linalg.pinv,1,skimage
numpy.uint16.ndim,1,dask.array
numpy.bytes_,1,dask.array
numpy.str_,1,dask.array
numpy.uint64.ndim,1,dask.array
numpy.float128,1,dask.array
numpy.complex256.ndim,1,dask.array
numpy.fft.fftfreq,1,matplotlib
numpy.longlong.ndim,1,dask.array
numpy.ulonglong,1,dask.array
numpy.datetime64.ndim,1,dask.array
numpy.convolve,1,skimage
Type[numpy.matrix].__name__,1,dask.array
numpy.lib.arraypad._as_pairs,1,skimage
numpy.flipud,1,matplotlib
numpy.__version__,1,skimage
numpy.matrix.view,1,dask.array
numpy.matrix.__class__,1,dask.array
numpy.int64.ndim,1,skimage
numpy.float16.ndim,1,dask.array
numpy.int8.ndim,1,dask.array
numpy.floor_divide,1,skimage
numpy.random.mtrand.RandomState.lognormal,1,matplotlib
numpy.nan_to_num,1,skimage
numpy.fix,1,dask.array
numpy.einsum,1,skimage
numpy.ndarray.__array_wrap__,1,dask.array
numpy.random.lognormal,1,matplotlib
numpy.fromfile,1,skimage
numpy.ndarray.tobytes,1,skimage
numpy.str_.ndim,1,dask.array
numpy.sctype2char,1,skimage
numpy.typecodes,1,skimage
numpy.full_like,1,skimage
numpy.int_,1,skimage
numpy.reciprocal,1,skimage
numpy.random.mtrand,1,skimage
numpy.bool_.all,1,pandas
numpy.bool_.shape,1,matplotlib
numpy.bool_.dtype,1,dask.array
numpy.ma.core.getdata,1,skimage
numpy.nanmin,1,matplotlib
numpy.int8,1,xarray
numpy.object_,1,xarray
numpy.ravel_multi_index,1,matplotlib
numpy.pad,1,matplotlib
numpy.broadcast_arrays,1,xarray
numpy.around,1,xarray
numpy.frombuffer,1,dask.array
numpy.ma.core.MaskedArray.shrink_mask,1,matplotlib
numpy.ndarray.strides,1,dask.array
numpy.min_scalar_type,1,matplotlib
numpy.ndarray.take,1,matplotlib
numpy.floating,1,matplotlib
numpy.dtype.type,1,matplotlib
builtins.bytes.decode,1,xarray
numpy.random.mtrand.RandomState.bytes,1,dask.array
numpy.uint32,1,dask.array
numpy.random.RandomState,1,dask.array
numpy.uint8,1,xarray
Type[numpy.int64].__mro__,1,matplotlib
Type[numpy.ndarray].__mro__,1,matplotlib
numpy.nanstd,1,pandas
numpy.nextafter,1,pandas
numpy.finfo,1,matplotlib
numpy.dtype.char,1,pandas
numpy.geterr,1,pandas
numpy.Inf,1,pandas
numpy.ndarray.index,1,pandas
numpy.copy,1,pandas
numpy.nanvar,1,pandas
numpy.ndarray.index,1,matplotlib
numpy.transpose,1,xarray
numpy.ndarray.variable,1,xarray
numpy.ndarray.coords,1,xarray
numpy.finfo.tiny,1,matplotlib
numpy.round,1,matplotlib
Type[numpy.float64].__mro__,1,matplotlib
numpy.atleast_2d,1,xarray
numpy.linalg._umath_linalg.eig,1,dask.array
numpy.outer,1,matplotlib
numpy.ma.core.MaskedArray.reshape,1,skimage
numpy.ScalarType,1,dask.array
numpy.hanning,1,skimage
numpy.hamming,1,skimage
numpy.ufunc.nout,1,dask.array
numpy.array2string,1,skimage
numpy.linalg.matrix_rank,1,skimage
numpy.fill_diagonal,1,skimage
numpy.ndarray.argmin,1,skimage
numpy.ndarray.nbytes,1,dask.array
numpy.random.BitGenerator,1,pandas
numpy.dtype.base,1,dask.array
numpy.ndarray.__array_priority__,1,dask.array
numpy.bitwise_xor,1,skimage
numpy.ulonglong,1,skimage
numpy.longlong,1,skimage
numpy.testing._private.utils.assert_no_warnings,1,skimage
numpy.correlate,1,matplotlib
numpy.random.mtrand.RandomState.shuffle,1,matplotlib
numpy.ndarray.item,1,dask.array
numpy.s_,1,skimage
builtins.builtin_function_or_method.__name__,1,dask.array
numpy.void,1,xarray
numpy.ndarray.__class__,1,dask.array
builtins.str.encode,1,xarray
numpy.nanmax,1,matplotlib
numpy.random.mtrand.RandomState.normal,1,xarray
Type[numpy.dtype].__module__,1,dask.array
builtins.str.upper,1,xarray
numpy.isnat,1,xarray
numpy.inexact,1,xarray
numpy.around,1,skimage
numpy.linalg.det,1,matplotlib
numpy.character,1,xarray
numpy.logical_and,1,matplotlib
numpy.ndarray.nonzero,1,matplotlib
numpy.bool8,1,skimage
numpy.random.mtrand.RandomState.random_sample,1,dask.array
numpy.alltrue,1,skimage
numpy.delete,1,matplotlib
