function,count
numpy.random.mtrand.RandomState.gamma,2
numpy.testing._private.utils.assert_array_almost_equal_nulp,3
numpy.angle,3
numpy.ma.core.MaskedArray.shape,2
numpy.ma.core.getmaskarray,1
numpy.require,1
numpy.ma.core.MaskedArray.mean,1
numpy.ma.core.MaskedArray.mask,4
numpy.ma.core.MaskedArray.fill_value,2
numpy.ma.core.getdata,1
numpy.ma.core.MaskedArray.reshape,1
numpy.ma.core.<numpy.ma.core._convert2ma object at 0x7ff9e03f5fd0>,4
numpy.ma.masked,3
numpy.tanh,2
numpy.testing._private.utils.assert_no_warnings,1
numpy.longlong,1
numpy.ulonglong,1
numpy.ndim,2
numpy.bitwise_xor,1
numpy.searchsorted,2
numpy.ndarray.repeat,2
numpy.ndarray.argmin,1
numpy.fill_diagonal,1
numpy.complex128,2
numpy.complex64,2
numpy.ndarray.var,7
numpy.linalg.matrix_rank,1
numpy.array2string,1
numpy.atleast_1d,4
numpy.ndarray.sort,9
numpy.hamming,1
numpy.hanning,1
numpy.fft.fftshift,3
numpy.s_,1
numpy.around,1
numpy.alltrue,1
numpy.may_share_memory,2
numpy.bool8,1
numpy.random.choice,2
numpy.random.mtrand.RandomState.poisson,2
