function,count
numpy.ma.core.masked_invalid,1
numpy.ma.core.fix_invalid,3
numpy.testing,9
numpy.ndarray.prod,1
numpy.ma.core.MaskedArray.sum,10
numpy.ma.core.divide,1
numpy.any,38
numpy.unravel_index,3
numpy.ravel_multi_index,1
numpy.ma.core.minimum_fill_value,1
numpy.ogrid,1
numpy.argmax,17
numpy.ma.core.maximum_fill_value,1
numpy.ma.core.MaskedArray.cumsum,1
numpy.ma.core.getdata,5
numpy.ma.core.getmaskarray,4
numpy.ma.core.MaskedArray.cumprod,1
numpy.ma.getdata,1
numpy.ma.nomask,1
numpy.ma.core.MaskError,1
numpy.ma.core,1
numpy.ma.core._check_fill_value,1
numpy.ma.core.set_fill_value,2
numpy.ma.set_fill_value,1
numpy.ma.array,2
numpy.ma.extras.average,1
numpy.swapaxes,4
numpy.ma.getmaskarray,1
numpy.min,3
numpy.max,3
numpy.testing._private.utils.assert_array_equal,4
numpy.dtype.name,1
numpy.percentile,1
numpy.number,1
numpy.interp,1
numpy.random.mtrand.RandomState.exponential,1
numpy.random.mtrand.RandomState.binomial,1
numpy.random.mtrand.RandomState.gamma,1
numpy.random.mtrand.RandomState.gumbel,1
numpy.random.mtrand.RandomState.laplace,1
numpy.random.mtrand.RandomState.lognormal,1
numpy.random.mtrand.RandomState.multinomial,2
numpy.random.mtrand.RandomState.negative_binomial,1
numpy.random.mtrand.RandomState.noncentral_f,1
numpy.random.mtrand.RandomState.pareto,1
numpy.random.mtrand.RandomState.power,1
numpy.random.mtrand.RandomState.uniform,5
numpy.random.mtrand.RandomState.wald,1
numpy.random.mtrand.RandomState.zipf,1
numpy.random.mtrand.RandomState.standard_exponential,1
numpy.random.multinomial,1
numpy.random.choice,2
numpy.random.mtrand.RandomState.choice,1
numpy.ndarray.take,1
numpy.random.mtrand.RandomState.shuffle,3
numpy.roll,3
numpy.argsort,10
builtins.builtin_function_or_method.__doc__,1
numpy.float32.shape,5
numpy.int32.shape,4
Type[numpy.float32].__module__,1
numpy.float32.dtype,1
numpy.float64.astype,1
numpy.nansum,39
numpy.nanprod,22
numpy.nanmin,23
numpy.nanmax,26
numpy.nanvar,18
numpy.nanstd,18
numpy.expand_dims,2
numpy.nanargmin,15
numpy.nanargmax,12
numpy.nanmean,4
numpy.ndarray.argmin,2
numpy.partition,1
numpy.argpartition,1
numpy.take_along_axis,2
numpy.ndarray.trace,1
numpy.nanmedian,5
numpy.atleast_1d,4
numpy.atleast_3d,3
numpy.atleast_2d,2
numpy.random.normal,3
numpy.ndarray.swapaxes,3
numpy.core.numeric,3
numpy.core,3
numpy.core.numeric.normalize_axis_tuple,2
numpy.moveaxis,3
numpy.core._multiarray_umath.normalize_axis_index,1
numpy.rollaxis,2
numpy.fliplr,1
Type[numpy.float64].__module__,2
numpy.vdot,1
numpy.complex128.shape,5
numpy.outer,4
numpy.apply_along_axis,2
numpy.apply_over_axes,1
numpy.ptp,1
numpy.ediff1d,1
numpy.gradient,2
numpy.bool8,1
numpy.bincount,6
numpy.digitize,6
numpy.iterable,2
numpy.histogram,8
numpy.corrcoef,5
numpy.isin,4
numpy.in1d,1
numpy.shape,1
numpy.union1d,2
numpy.generic.reshape,2
numpy.ravel,1
numpy.squeeze,1
numpy.ndarray.squeeze,1
numpy.take,3
numpy.compress,1
numpy.count_nonzero,5
numpy.generic.all,1
numpy.bool_.all,1
numpy.extract,1
numpy.choose,3
numpy.ndarray.choose,2
numpy.piecewise,3
numpy.argwhere,2
numpy.True_,1
numpy.False_,2
numpy.ndarray.nonzero,1
numpy.insert,10
numpy.einsum_path,1
numpy.average,2
numpy.equal,8
numpy.multiply,8
numpy.iscomplexobj,2
numpy.complexfloating,1
numpy.random.seed,1
numpy.seterr,2
numpy.power,8
numpy.subtract,9
numpy.xlogy,2
numpy.ufunc.__doc__,1
numpy.arccos,3
numpy.ufunc,2
numpy.arccosh,6
numpy.arcsin,3
numpy.arcsinh,6
numpy.arctan,3
numpy.arctanh,6
numpy.invert,7
numpy.cbrt,6
numpy.exp2,6
numpy.floor,3
numpy.log2,3
numpy.negative,4
numpy.reciprocal,6
numpy.rint,3
numpy.spacing,6
numpy.trunc,3
numpy.copysign,7
numpy.bitwise_and,8
numpy.bitwise_or,7
numpy.bitwise_xor,8
numpy.floor_divide,7
numpy.greater,7
numpy.greater_equal,8
numpy.less,7
numpy.less_equal,8
numpy.remainder,11
numpy.nextafter,8
numpy.not_equal,7
numpy.float_power,8
numpy.ufunc.outer,10
numpy.ndarray.real,1
numpy.ndarray.imag,1
numpy.ndarray.conj,1
numpy.ndarray.clip,5
numpy.isposinf,1
numpy.i0,1
numpy.sinc,2
numpy.frompyfunc,2
numpy.? (vectorized),3
numpy.ufunc.reduce,1
numpy.divmod,2
