function,count
numpy.<numpy.vectorize object at 0x7fa94e388190>,1
numpy.<numpy.vectorize object at 0x7fa94e388220>,1
numpy.<numpy.vectorize object at 0x7fa94e388490>,1
numpy.<numpy.vectorize object at 0x7fa94e388730>,1
numpy.<numpy.vectorize object at 0x7fa94e388d90>,1
numpy.<numpy.vectorize object at 0x7fa94e388d00>,1
numpy.<numpy.vectorize object at 0x7fa94e38f310>,1
numpy.<numpy.vectorize object at 0x7fa94e38f5b0>,1
numpy.<numpy.vectorize object at 0x7fa94e38fc10>,1
numpy.<numpy.vectorize object at 0x7fa94e38fca0>,1
numpy.<numpy.vectorize object at 0x7fa94e39e760>,1
numpy.<numpy.vectorize object at 0x7fa94e39e4c0>,1
numpy.<numpy.vectorize object at 0x7fa94e39e640>,1
numpy.<numpy.vectorize object at 0x7fa94e39eb50>,1
numpy.<numpy.vectorize object at 0x7fa94e3a52b0>,1
numpy.<numpy.vectorize object at 0x7fa94e3a5370>,1
numpy.<numpy.vectorize object at 0x7fa94e3a5580>,1
numpy.<numpy.vectorize object at 0x7fa94e3a59d0>,1
numpy.<numpy.vectorize object at 0x7fa8a2332490>,1
numpy.<numpy.vectorize object at 0x7fa8a23323d0>,1
numpy.<numpy.vectorize object at 0x7fa8a23321c0>,1
numpy.<numpy.vectorize object at 0x7fa8a2332850>,1
numpy.<numpy.vectorize object at 0x7fa8a2339130>,1
numpy.<numpy.vectorize object at 0x7fa8a23391c0>,1
numpy.geterr,1
numpy.Inf,1
numpy.ndarray.index,1
numpy.copy,1
numpy.nanstd,1
numpy.nanvar,1
